name,description,latitude,longitude
Galicia,A Coruña,43.1257958229, -8.4642836868
Comunitat Valenciana,Alacant,38.4786378049, -0.568699068376
Castilla - La Mancha,Albacete,38.8254086192, -1.98037326935
Andalucía,Almería,37.1960852121, -2.3448128003
País Vasco,Araba,42.8351264353, -2.72060346921
"Asturias, Principado de",Asturias,43.292357861, -5.99350932547
Castilla y León,Ávila,40.5710367492, -4.94553505619
Extremadura,Badajoz,38.7097707381, -6.14158521981
Cataluña,Barcelona,41.7310008895, 1.98405401772
País Vasco,Bizkaia,43.2376797057, -2.85260007926
Castilla y León,Burgos,42.3687127267, -3.58574245567
Extremadura,Cáceres,39.7118899607, -6.16082194997
Andalucía,Cádiz,36.5538729195, -5.7604183752
Cantabria,Cantabria,43.1975220484, -4.03002122038
Comunitat Valenciana,Castelló,40.2413705852, -0.146777086937
Ceuta,Ceuta,35.8934069863, -5.34342403891
Castilla - La Mancha,Ciudad Real,38.9256128254, -3.82809764894
Andalucía,Córdoba,37.9926944409, -4.80926161095
Castilla - La Mancha,Cuenca,39.8960496846, -2.19567153274
País Vasco,Gipuzcoa,43.1437759117, -2.19417845709
Cataluña,Girona,42.1280117119, 2.6735559327
Andalucía,Granada,37.3125169672, -3.26788107732
Castilla - La Mancha,Guadalajara,40.8134495654, -2.62368878371
Andalucía,Huelva,37.5771794021, -6.82930221031
Aragón,Huesca,42.2030557371, -0.0728865943582
Illes Balears,Illes Balears,39.5751889864, 2.91229172079
Andalucía,Jaén,38.0165122783, -3.44169215171
"Rioja, La",La Rioja,42.2748706958, -2.5170441194
Canarias,Las Palmas,28.3624928216, -14.5509933924
Castilla y León,León,42.6199552439, -5.83988102629
Cataluña,Lleida,42.0439686698, 1.04798206104
Galicia,Lugo,43.011764, -7.44638404764
Comunidad de Madrid,Madrid,40.4950873744, -3.71704619215
Andalucía,Málaga,36.8138591651, -4.72586195603
Melilla,Melilla,35.2908279949, -2.95053552337
Región de Murcia,Murcia,38.0023681653, -1.48575629332
Comunidad Foral de Navarra,Navarra,42.6672011509, -1.64611414443
Galicia,Ourense,42.1964503002, -7.59259790937
Castilla y León,Palencia,42.3718338546, -4.53585717538
Galicia,Pontevedra,42.435764706, -8.46106294738
Castilla y León,Salamanca,40.8049892162, -6.06541224773
Canarias,Santa Cruz de Tenerife,28.3125567678, -17.017856743
Castilla y León,Segovia,41.1710254065, -4.05415057783
Andalucía,Sevilla,37.4356699135, -5.68277303032
Castilla y León,Soria,41.6207742504, -2.58874304739
Cataluña,Tarragona,41.0876143957, 0.818127863314
Aragón,Teruel,40.6612619615, -0.815532258446
Castilla - La Mancha,Toledo,39.7937341614, -4.14815562595
Comunitat Valenciana,València,39.3702562375, -0.800789615081
Castilla y León,Valladolid,41.6341260695, -4.84719141141
Castilla y León,Zamora,41.7271743961, -5.98053925522
Aragón,Zaragoza,41.6203648019, -1.06449678144
